Rank,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1,2014,121,8.1,757074,333.13,76
2,2012,124,7,485820,126.46,65
3,2016,117,7.3,157606,138.12,62
4,2016,108,7.2,60545,270.32,59
5,2016,123,6.2,393727,325.02,40
6,2016,103,6.1,56036,45.13,42
7,2016,128,8.3,258682,151.06,93
8,2016,89,6.4,2490,,71
9,2016,141,7.1,7188,8.01,78
10,2016,116,7,192177,100.01,41
11,2016,133,7.5,232072,234.02,66
12,2016,127,7.8,93103,169.27,74
13,2016,133,7.9,323118,532.17,65
14,2016,107,7.7,118151,248.75,81
15,2016,109,6.4,8612,2.87,70
16,2016,87,6.6,120259,368.31,61
17,2016,139,8.2,211760,67.12,71
18,2016,123,6.7,150823,162.16,58
19,2016,118,8.1,102061,51.69,69
20,2016,116,8,340798,100.5,81
21,2016,120,6.7,19053,7.22,49
22,2016,137,7.9,134213,47.7,96
23,2016,108,6.7,1115,,72
24,2016,92,6.5,38552,153.69,56
25,2016,120,5.3,127553,103.14,32
26,2016,83,6.8,222,,
27,2015,159,8.3,76193,6.5,
28,2016,99,4.7,523,0.01,
29,2016,100,6.2,66540,113.08,60
30,2016,115,5.9,112813,54.65,36
31,2016,111,6.3,48123,60.31,39
32,2016,116,7.5,126030,10.64,67
33,2016,144,7.1,275510,155.33,52
34,2016,108,8,627797,363.02,65
35,2016,107,5.6,46165,26.84,49
36,2016,147,7.9,411656,408.08,75
37,2014,169,8.6,1047747,187.99,74
38,2016,115,7.6,293732,232.6,72
39,2016,132,6.9,122853,93.38,54
40,2007,113,7.1,241,,
41,2016,89,6.3,120690,97.66,66
42,2016,111,7.5,135095,27.85,99
43,2016,73,2.7,496,,
44,2016,115,7.2,37033,12.79,66
45,2016,99,6.3,279,4.21,57
46,2011,136,6.7,395025,241.06,45
47,2016,132,7.3,17818,3.44,64
48,2016,91,5.6,5103,,
49,2016,122,7.1,164567,158.8,68
50,2016,130,3.7,987,,16
51,2015,136,8.1,661608,936.63,81
52,2016,91,5.8,41362,30.35,23
53,2016,118,5.6,20221,32.46,18
54,2014,101,7.2,321933,43,68
55,2008,152,9,1791916,533.32,82
56,2016,161,7.3,49190,7.08,79
57,2016,88,7.2,121103,89.21,71
58,2016,106,7.4,113322,56.23,51
59,2016,117,7,3739,3.18,76
60,2016,96,7.5,137608,125.07,74
61,2016,151,6.7,472307,330.25,44
62,2016,86,6.8,35870,,65
63,2016,112,6.5,102177,75.31,48
64,2015,125,4.1,244474,166.15,46
65,2006,130,8.5,913152,53.08,66
66,2014,129,7.7,440209,128.25,58
67,2016,133,7.4,39784,31.86,69
68,2015,120,8.1,632842,153.63,90
69,2016,106,7.5,291,0.01,61
70,2016,107,7.2,89849,61.28,68
71,2016,133,5.9,149791,,49
72,2016,124,7.1,78079,40.07,60
73,2016,108,7.5,39134,3.73,76
74,2016,97,6.8,43977,30.98,23
75,2016,108,8.1,296853,341.26,78
76,2007,169,7.1,498821,309.4,50
77,2012,143,8.1,1045588,623.28,69
78,2009,153,8.3,959065,120.52,69
79,2006,151,7.3,552027,423.03,53
80,2016,116,5.3,147717,128.34,60
81,2010,148,8.8,1583625,292.57,74
82,2016,118,7.9,105081,5.88,72
83,2013,180,8.2,865134,116.87,75
84,2014,149,8.1,636243,167.74,79
85,2015,137,7.2,301249,350.03,67
86,2015,124,7,455169,652.18,59
87,2016,129,6.4,27869,10.38,49
88,2009,162,7.8,935408,760.51,83
89,2015,187,7.8,341170,54.12,68
90,2016,128,7.4,162122,86.2,51
91,2013,153,8.1,431185,60.96,74
92,2016,123,7,187547,47.17,32
93,2011,146,8.1,342429,169.71,62
94,2016,114,7.1,106463,43.02,57
95,2015,141,7.4,516895,458.99,66
96,2016,116,7.4,175067,36.25,70
97,2016,106,8.6,34110,4.68,79
98,2016,90,5.8,9247,0.15,62
99,2016,105,6.3,10181,1.29,77
100,2006,151,8.5,937414,132.37,85
101,2015,132,7,108836,1.87,55
102,2011,115,7,570814,181.02,57
103,2015,144,8,556097,228.43,80
104,2016,106,7.9,7204,,
105,2015,116,7.3,202973,45.43,56
106,2016,102,7.7,115546,26.86,88
107,2016,120,5.4,1954,1.66,40
108,2016,110,6.3,117590,126.59,44
109,2016,105,5.8,1004,,48
110,2014,108,7.7,339797,25.44,78
111,2016,89,6.3,3712,10.16,44
112,2013,134,8.1,486338,56.67,96
113,2016,118,6.1,512,,65
114,2006,117,7.7,637104,210.59,52
115,2011,130,8.1,590595,380.96,87
116,2016,105,5.8,30761,54.73,42
117,2016,118,6.2,50359,1.33,51
118,2016,161,8.8,48969,11.15,
119,2016,104,7.2,192968,71.9,76
120,2016,97,7.4,157026,486.29,77
121,2016,127,6.7,101058,87.24,57
122,2014,139,6.7,362093,150.83,48
123,2016,98,6,53183,46.01,51
124,2016,86,7.4,10428,,
125,2012,164,8.5,1222645,448.13,78
126,2016,106,7.5,198243,364,77
127,2014,165,5.7,255483,245.43,32
128,2016,96,6.6,69651,38.56,58
129,2008,108,6.4,153481,143.7,51
130,2015,156,8,499424,183.64,76
131,2016,139,7.3,50953,57.64,79
132,2014,125,6,109756,128,69
133,2016,86,6.4,78328,55.12,59
134,2014,107,8.5,477276,13.09,88
135,2013,130,7.1,318051,238.67,61
136,2012,140,7.3,200090,21.38,68
137,2007,122,8.1,660286,74.27,91
138,2013,143,7.3,386102,144.81,55
139,2010,138,8.1,855604,127.97,63
140,2016,148,7.1,13004,,44
141,2009,127,8,526324,257.7,82
142,2010,94,6.2,34184,64,56
143,2015,130,7.8,246360,70.24,81
144,2015,118,8.2,224132,14.68,86
145,2012,165,8.4,1039115,162.8,81
146,2016,144,8.1,33418,2.01,84
147,2016,104,7.4,47694,14.26,77
148,2009,162,7.6,410249,107.5,56
149,2007,113,7.6,442082,121.46,76
150,2016,121,6.2,97623,34.26,42
151,2016,117,6.4,50853,55.47,66
152,2012,142,7.2,735604,408,68
153,2016,88,5.8,4299,0.2,65
154,2015,121,7.6,243230,46.88,82
155,2014,91,8.1,1973,,
156,2007,94,4.7,97618,41.8,29
157,2013,131,7,400519,101.79,64
158,2011,118,7.4,396714,84.24,68
159,2010,112,7.5,291457,31.49,69
160,2007,121,7.9,373244,23.62,81
161,2016,106,6,5926,,40
162,2016,90,7,6946,1.8,63
163,2014,132,8,552298,233.91,74
164,2016,118,6.1,78043,58.4,47
165,2006,144,8,495106,167.01,80
166,2008,122,5.2,361449,191.45,56
167,2016,129,6.5,156567,65.03,46
168,2015,109,7.3,39723,33.31,51
169,2016,144,7.3,76935,52.82,48
170,2015,148,6.8,308981,200.07,60
171,2014,118,7.9,332476,32.28,76
172,2016,101,7.9,72778,48.02,84
173,2016,84,5.2,2127,,59
174,2013,126,8,390531,25.56,90
175,2013,102,7.5,451894,400.74,74
176,2015,130,6.5,143069,93.42,60
177,2014,130,7.6,337777,208.54,79
178,2008,107,7,321442,110.42,71
179,2016,134,7.4,137203,102.46,65
180,2015,117,7.3,368912,180.19,64
181,2016,118,6.7,43086,24.09,59
182,2015,92,6.8,101781,25.14,83
183,2015,105,7,117018,201.15,67
184,2016,112,5.9,1176,,
185,2016,124,8,22389,3.4,85
186,2015,135,6,24003,,51
187,2016,113,6.3,11944,1.72,53
188,2015,119,6.6,97454,31.06,66
189,2011,100,7.8,461509,35.05,78
190,2015,125,6.3,106364,110.01,75
191,2016,133,7.2,27382,12.53,60
192,2016,94,5.6,1445,,42
193,2015,128,8.1,268282,44.99,93
194,2016,92,5.8,22107,3.91,48
195,2011,140,8.2,355722,13.65,71
196,2011,124,6.9,547368,176.64,66
197,2016,95,6.3,3799,,
198,2007,148,8.1,459304,18.35,73
199,2014,114,8.1,532353,91.12,73
200,2016,107,6.3,97082,127.38,52
201,2014,113,7.9,471815,100.19,71
202,2016,146,6.5,12193,8.1,47
203,2016,134,7.3,79855,21.48,58
204,2008,126,7.9,737719,318.3,79
205,2016,120,5.7,70504,66,33
206,2011,132,7.8,550011,146.41,65
207,2016,99,7.5,5435,0.51,81
208,2016,118,7.5,26089,2.14,90
209,2011,125,6.8,227912,169.08,75
210,2016,111,6.7,23713,,67
211,2015,114,6.1,161396,155.18,43
212,2012,94,5.3,114290,14.12,63
213,2007,144,7.1,531112,318.76,61
214,2013,104,5.8,54679,,49
215,2013,112,7,443584,206.36,54
216,2016,126,5.5,73568,31.14,25
217,2014,136,7.8,542362,259.75,70
218,2016,104,5.7,7044,33.04,41
219,2016,100,6.1,1703,,67
220,2010,117,7.7,456749,48.04,66
221,2015,96,6.7,61098,9.24,51
222,2006,117,7.1,283445,244.05,73
223,2014,100,6.9,136399,14.67,83
224,2011,158,7.8,348551,102.52,71
225,2013,110,7,334867,150.37,44
226,2016,163,7,19660,0.66,79
227,2015,119,7.1,121313,8.7,82
228,2010,107,6.4,179450,52,51
229,2014,97,7,268877,241.41,56
230,2016,102,4.8,2382,,35
231,2006,118,8.2,498879,37.62,98
232,2016,95,5.2,3305,0,50
233,2006,139,7.8,247926,50.86,68
234,2015,131,7.4,257472,195,75
235,2016,114,6.1,66766,47.95,35
236,2012,102,8,377336,17.74,67
237,2016,100,6.8,41446,13.96,81
238,2016,85,3.9,4895,2.41,31
239,2014,99,8.1,530881,59.07,88
240,2013,125,5.9,96852,26.62,35
241,2014,134,7.6,332234,85.71,64
242,2015,95,8.2,416689,356.45,94
243,2016,90,5.8,1109,9.4,48
244,2015,126,6.5,205365,89.73,38
245,2010,118,5.9,148949,88.76,47
246,2012,158,7.6,257426,148.78,63
247,2006,109,7.9,382910,35.29,84
248,2016,119,7.4,14708,5.66,83
249,2015,119,7.1,188017,110.82,75
250,2011,112,8.6,557965,13.18,57
251,2016,92,4.9,178,0.32,50
252,2009,94,7.3,50946,0.11,73
253,2015,147,7.9,139831,161.03,72
254,2014,142,6.7,342183,202.85,53
255,2013,112,7.5,330305,137.39,68
256,2009,100,7.8,611563,277.31,73
257,2012,131,5.8,210349,65.17,41
258,2011,105,7.6,422290,176.74,68
259,2016,81,6.4,69823,67.24,58
260,2016,118,7.1,664,2.27,76
261,2014,119,7.8,440299,42.34,88
262,2010,108,8,581518,106.95,79
263,2014,108,6.2,21715,4.4,79
264,2013,117,7,90556,0.79,64
265,2016,112,6,59312,0.54,40
266,2015,99,4.9,53441,0.03,53
267,2016,102,6,75137,35.54,18
268,2012,172,7.5,298651,27.1,55
269,2009,107,6.7,388447,179.88,40
270,2016,85,3.7,2384,,
271,2012,143,7.8,547386,304.36,81
272,2012,169,7.9,668651,303,58
273,2012,110,7.2,432046,138.45,69
274,2016,106,8,52144,3.23,79
275,2016,89,6.8,4729,,
276,2013,124,7,410125,89.02,54
277,2014,112,7.1,280110,191.62,71
278,2007,157,7.7,329683,33.05,78
279,2016,117,7,36312,3.37,83
280,2013,130,7.2,591023,408.99,62
281,2013,115,7.3,492324,117.7,50
282,2009,128,7.6,501769,209.02,57
283,2007,113,7.1,220236,,
284,2015,119,7,110773,12.71,66
285,2014,98,6,122838,72.66,47
286,2011,110,6.1,204874,36.38,33
287,2016,105,5.8,30405,14.9,34
288,2015,127,5.3,150121,47.38,40
289,2016,95,5.8,26508,17.36,47
290,2016,99,6.1,726,,
291,2016,118,7.5,58782,2.13,72
292,2012,112,7.2,226631,65,66
293,2016,92,5.7,76327,55.29,58
294,2016,107,7.7,96,,
295,2013,143,7.1,577010,291.02,55
296,2016,111,6.6,20514,18.71,26
297,2016,94,5.7,34523,64.06,34
298,2006,109,6.8,302268,124.73,62
299,2016,127,7.1,43929,15.43,66
300,2007,158,8.1,400682,40.22,92
301,2014,132,7.2,249425,101.53,57
302,2013,121,7.5,218996,125.07,60
303,2012,95,7,295554,42.04,72
304,2008,97,5.5,67033,48.24,55
305,2010,104,6.4,105619,31.58,46
306,2014,148,6.7,69509,8.09,81
307,2016,113,6.2,57207,77.04,34
308,2016,110,5.5,403,,
309,2006,104,6,193479,62.49,45
310,2016,110,6.1,59886,46.81,51
311,2009,129,7.7,237221,255.95,53
312,2013,180,7.8,103150,2.2,88
313,2014,93,6.8,132580,0.92,86
314,2014,144,7.4,385598,255.11,59
315,2007,138,7.5,385325,292,71
316,2013,126,7,199048,4.56,84
317,2016,112,5.2,73093,34.91,33
318,2016,81,5.3,1263,,
319,2015,94,6.2,81429,65.07,55
320,2011,131,7.3,300803,209.81,66
321,2006,104,6.5,95960,65.27,48
322,2016,84,6.4,616,0.01,74
323,2008,114,7.3,203096,5.69,53
324,2011,109,6.7,319025,37.55,53
325,2010,120,7.7,510100,96.92,95
326,2015,106,6,71149,27.36,34
327,2015,110,6,37975,5.77,36
328,2016,103,7.4,12643,0.04,54
329,2015,95,7,62885,3.22,79
330,2015,133,5.4,43085,7.1,51
331,2016,87,6.9,34248,72.66,56
332,2014,133,7.3,353305,350.12,72
333,2013,117,8,352801,27.3,84
334,2012,150,7.4,207497,182.2,86
335,2013,123,8.1,339722,26.9,75
336,2016,97,6.1,18201,,
337,2012,122,7.8,564364,132.09,81
338,2016,88,5.9,115,,64
339,2014,126,7.8,271301,124.87,69
340,2014,117,6.5,93764,46.28,31
341,2009,107,6.6,217464,155.02,46
342,2012,119,7.4,452369,66.47,84
343,2013,131,6.4,173320,73.1,52
344,2016,102,6.8,36322,76.2,71
345,2007,139,6.2,406219,336.53,59
346,2011,110,5.8,92329,20.32,35
347,2007,127,7.7,220664,38.35,66
348,2013,138,7.3,379088,150.12,90
349,2009,102,5.1,96617,16.2,47
350,2011,94,7.7,320323,56.82,81
351,2016,89,7.3,1396,,83
352,2015,124,6.6,97679,56.44,56
353,2015,119,7.1,33352,2.02,47
354,2016,96,6.7,45579,11.08,64
355,2015,119,6.3,171970,130,42
356,2014,102,5.5,59958,17.18,30
357,2016,118,7.4,5496,,
358,2014,123,7.7,299718,35.89,72
359,2013,107,6.6,327838,101.47,67
360,2013,123,7.8,221600,15.29,55
361,2008,98,6.9,223065,100.47,51
362,2014,100,5.7,14248,0.05,42
363,2013,132,7.8,417663,228.76,72
364,2009,88,7.7,409403,75.59,73
